school_name,course,category,old_district,total_score,naishin,naishin_max,hensachi,exam_type,gakuryoku_ratio,note
橘,産業,国際・科学技術・産業・芸術・体育科,,395,29,65,32,共通,7:3,
新宿山吹,普通,昼夜間定時制普通科,,595,37,75,48,共通,7:3,3教科校
新宿山吹,情報,昼夜間定時制普通科,,545,36,75,44,共通,7:3,3教科校
砂川,,昼夜間定時制普通科,,440,33,65,34,共通,7:3,
八王子拓真,,昼夜間定時制普通科,,420,35,75,33,共通,6:4,3教科校
荻窪,,昼夜間定時制普通科,,395,33,75,32,共通,7:3,3教科校
浅草,,昼夜間定時制普通科,,395,32,75,32,共通,6:4,3教科校
一橋,,昼夜間定時制普通科,,395,32,75,32,共通,6:4,3教科校
千早,ビジネスコミュニケーション,商業（ビジネス）科,,520,38,65,39,共通,7:3,
第五商業,ビジネス,商業（ビジネス）科,,515,37,65,39,共通,7:3,
芝商業,ビジネス,商業（ビジネス）科,,470,34,65,36,共通,7:3,
第一商業,ビジネス,商業（ビジネス）科,,420,32,65,33,共通,7:3,
第三商業,ビジネス,商業（ビジネス）科,,420,31,65,33,共通,7:3,
江東商業,ビジネス,商業（ビジネス）科,,420,31,65,33,共通,7:3,
第四商業,ビジネス,商業（ビジネス）科,,400,30,65,32,共通,7:3,
大田桜台,ビジネスコミュニケーション,商業（ビジネス）科,,390,30,65,31,共通,7:3,
葛飾商業,ビジネス,商業（ビジネス）科,,390,30,65,31,共通,7:3,
蔵前工科,建築,工業科（工科）,,510,35,65,39,共通,7:3,
蔵前工科,電気,工業科（工科）,,490,34,65,38,共通,7:3,
蔵前工科,設備工業,工業科（工科）,,475,33,65,37,共通,7:3,
府中工科,情報技術,工業科（工科）,,470,32,65,37,共通,7:3,
杉並工科,IT環境,工業科（工科）,,465,31,65,37,共通,7:3,
蔵前工科,機械,工業科（工科）,,460,32,65,36,共通,7:3,
府中工科,工業技術,工業科（工科）,,450,32,65,35,共通,7:3,
墨田工科,建築・自動車,工業科（工科）,,420,31,65,33,共通,7:3,
多摩工科,電気,工業科（工科）,,420,31,65,33,共通,7:3,
総合工科,機械・自動車／電気・情報デザイン／建築・都市工学,工業科（工科）,,420,31,65,33,共通,7:3,
田無工科,建築・都市工学,工業科（工科）,,405,31,65,32,共通,7:3,
墨田工科,機械・電気,工業科（工科）,,395,29,65,32,共通,7:3,
葛西工科,電子・建築,工業科（工科）,,395,29,65,32,共通,7:3,
府中工科,機械・電気,工業科（工科）,,395,29,65,32,共通,7:3,
六郷工科,ものづくり工学,工業科（工科）,,390,28,65,32,共通,7:3,
多摩工科,機械・環境化学,工業科（工科）,,390,30,65,31,共通,7:3,
田無工科,機械,工業科（工科）,,390,30,65,31,共通,7:3,
町田工科,総合情報,工業科（工科）,,385,29,65,31,共通,7:3,
葛西工科,機械,工業科（工科）,,380,28,65,31,共通,7:3,
荒川工科,情報技術,工業科（工科）,,375,27,65,31,共通,7:3,
北豊島工科,都市防災技術,工業科（工科）,,375,27,65,31,共通,7:3,
多摩工科,デュアルシステム,工業科（工科）,,370,28,65,30,共通,7:3,
足立工科,総合技術,工業科（工科）,,360,26,65,30,共通,7:3,
葛西工科,デュアルシステム,工業科（工科）,,360,26,65,30,共通,7:3,
荒川工科,電気・電子,工業科（工科）,,360,26,65,30,共通,7:3,
園芸,動物,農業・家庭・福祉科,,600,40,65,45,共通,7:3,
農業,食物,農業・家庭・福祉科,,570,39,65,43,共通,7:3,
瑞穂農芸,畜産科学,農業・家庭・福祉科,,545,38,65,41,共通,7:3,
赤羽北桜,調理,農業・家庭・福祉科,,520,38,65,39,共通,7:3,
農業,服飾,農業・家庭・福祉科,,520,38,65,39,共通,7:3,
園芸,食品,農業・家庭・福祉科,,510,35,65,39,共通,7:3,
農業,都市園芸・食品科学,農業・家庭・福祉科,,500,36,65,38,共通,7:3,
農芸,食品科学,農業・家庭・福祉科,,485,35,65,37,共通,7:3,
忍岡,生活科学,農業・家庭・福祉科,,480,36,65,36,共通,7:3,
園芸,園芸,農業・家庭・福祉科,,480,34,65,37,共通,7:3,
農芸,園芸科学,農業・家庭・福祉科,,470,34,65,36,共通,7:3,
農業,緑地計画,農業・家庭・福祉科,,465,33,65,36,共通,7:3,
農芸,緑地環境,農業・家庭・福祉科,,455,33,65,35,共通,7:3,
赤羽北桜,介護福祉,農業・家庭・福祉科,,445,34,65,34,共通,7:3,
瑞穂農芸,生活デザイン,農業・家庭・福祉科,,445,34,65,34,共通,7:3,
瑞穂農芸,食品・園芸科学,農業・家庭・福祉科,,440,33,65,34,共通,7:3,
農産,食品,農業・家庭・福祉科,,435,32,65,34,共通,7:3,
農産,園芸デザイン,農業・家庭・福祉科,,430,31,65,34,共通,7:3,
野津田,福祉,農業・家庭・福祉科,,425,33,65,33,共通,7:3,
赤羽北桜,保育・栄養,農業・家庭・福祉科,,410,32,65,32,共通,7:3,
