,,県立相模原弥栄,音楽科,38,43,43,0,,,38,0,1.1299999999999999,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,単位制　専門学科（美術に関する学科）,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,受検者数,,,,,受検後,,
,,学 校 名,学 科 名,募集定員,計,２月17日,追検査,合格者数,,,取消者数,競争率,欠員
,,,,,(A)+(B),(A),(B),(C),,,(D),(A+B-D)/C,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,県立相模原弥栄,美術科,38,55,55,0,,,38,0,1.45,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,単位制　専門学科（国際関係に関する学科）,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,受検者数,,,,,受検後,,
,,学 校 名,学科 ・ コース名,募集定員,計,２月17日,追検査,合格者数,,,取消者数,競争率,欠員
,,,,,(A)+(B),(A),(B),(C),,,(D),(A+B-D)/C,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,県立横浜国際,国際科,139,163,161,2,,,139,1,1.17,0
,,,,,,,,,,,,,
,,〃,国際科国際バカロレア コース,20,20,20,0,,,21,0,0.95,0
,,,,,,,,,,,,,
,,,計,159,183,181,2,,,160,1,1.1399999999999999,0
,,,,,,,,,,,,,
,※　県立横浜国際高等学校国際科は、国際科国際バカロレアコースを除く国際科です。,,,,,,,,
,※　県立横浜国際高等学校国際科国際バカロレアコースの合格者は、海外帰国生徒特別募集における国際科国際バカロレアコースの欠員者数を,,,,,,,,
,加えて決定しています。,,,,,,,,
,※　県立横浜国際高等学校国際科国際バカロレアコースの合格者数には、第２希望による合格者が含まれています。,,,,,,,,
,,,,,,,,,,,,,
,単位制　専門学科（総合産業に関する学科）,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,受検者数,,,,,受検後,,
,,学 校 名,学 科 名,募集定員,計,２月17日,追検査,合格者数,,,取消者数,競争率,欠員
,,,,,(A)+(B),(A),(B),(C),,,(D),(A+B-D)/C,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,県立神奈川総合産業,総合産業科,238,217,216,1,,,213,4,1,25
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,単位制　専門学科（舞台芸術に関する学科）,,,,,,,,
,,,,,,,,,,,,,
,,,,,,受検者数,,,,,受検後,,
,,学 校 名,学 科 名,募集定員,計,２月17日,追検査,合格者数,,,取消者数,競争率,欠員
,,,,,(A)+(B),(A),(B),(C),,,(D),(A+B-D)/C,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,県立神奈川総合,舞台芸術科,30,37,37,0,,,30,0,1.23,0
,,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,２　連携募集合格状況,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,受検者数,,,,,受検後,,
,,学 校 名,学 科 名,募集定員,計,２月18日,追検査,合格者数,,,取消者数,競争率,欠員
,,,,,(A)+(B),(A),(B),(C),,,(D),(A+B-D)/C,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,県立光陵,普通科,40,40,40,－,,,40,0,1,0
,,県立愛川,普通科,45,31,31,0,,,31,0,1,14
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,合　　計,,85,71,71,0,,,71,0,1,14
,,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
