school_code,school_name,school_name_kana,municipality,postal_code,address,full_address,phone
402250,千歳丘,チトセガオカ,世田谷区,156-0055,船橋3-18-1,東京都世田谷区船橋3-18-1,03-3429-7271
402270,深沢,フカサワ,世田谷区,158-0081,深沢7-3-14,東京都世田谷区深沢7-3-14,03-3702-4145
402410,世田谷泉,セタガヤイズミ,世田谷区,157-0061,北烏山9-22-1,東京都世田谷区北烏山9-22-1,03-3300-6131
402420,世田谷総合,セタガヤソウゴウ,世田谷区,157-0076,岡本2-9-1,東京都世田谷区岡本2-9-1,03-3700-4771
402520,新宿山吹,シンジュクヤマブキ,新宿区,162-8612,山吹町81,東京都新宿区山吹町81,03-5261-9771
402530,芦花,ロカ,世田谷区,157-0063,粕谷3-8-1,東京都世田谷区粕谷3-8-1,03-5315-3322
402620,第一商業,ダイイチショウギョウ,渋谷区,150-0035,鉢山町8-1,東京都渋谷区鉢山町8-1,03-3463-2606
402750,総合工科,ソウゴウコウカ,世田谷区,157-0066,成城9-25-1,東京都世田谷区成城9-25-1,03-3483-0204
402810,園芸,エンゲイ,世田谷区,158-8566,深沢5-38-1,東京都世田谷区深沢5-38-1,03-3705-2154
402930,国際,コクサイ,目黒区,153-0041,駒場2-19-59,東京都目黒区駒場2-19-59,03-3468-6811
402940,総合芸術,ソウゴウゲイジュツ,新宿区,162-0067,富久町22-1,東京都新宿区富久町22-1,03-3354-5288
403010,鷺宮,サギノミヤ,中野区,165-0033,若宮3-46-8,東京都中野区若宮3-46-8,03-3330-0101
403020,富士,フジ,中野区,164-0013,弥生町5-21-1,東京都中野区弥生町5-21-1,03-3382-0601
403030,武蔵丘,ムサシガオカ,中野区,165-0031,上鷺宮2-14-1,東京都中野区上鷺宮2-14-1,03-3999-9308
403040,荻窪,オギクボ,杉並区,167-0051,荻窪5-7-20,東京都杉並区荻窪5-7-20,03-3392-6436
403050,西,ニシ,杉並区,168-0081,宮前4-21-32,東京都杉並区宮前4-21-32,03-3333-7771
403060,豊多摩,トヨタマ,杉並区,166-0016,成田西2-6-18,東京都杉並区成田西2-6-18,03-3393-1331
403070,杉並,スギナミ,杉並区,166-0016,成田西4-15-15,東京都杉並区成田西4-15-15,03-3391-6530
403210,石神井,シャクジイ,練馬区,177-0051,関町北4-32-48,東京都練馬区関町北4-32-48,03-3929-0831
403220,井草,イグサ,練馬区,177-0044,上石神井2-2-43,東京都練馬区上石神井2-2-43,03-3920-0319
403230,大泉,オオイズミ,練馬区,178-0063,東大泉5-3-1,東京都練馬区東大泉5-3-1,03-3924-0318
403240,練馬,ネリマ,練馬区,179-8908,春日町4-28-25,東京都練馬区春日町4-28-25,03-3990-8643
403250,光丘,ヒカリガオカ,練馬区,179-0071,旭町2-1-35,東京都練馬区旭町2-1-35,03-3977-1501
403280,田柄,タガラ,練馬区,179-0072,光が丘2-3-1,東京都練馬区光が丘2-3-1,03-3977-2555
403410,杉並総合,スギナミソウゴウ,杉並区,168-0073,下高井戸5-17-1,東京都杉並区下高井戸5-17-1,03-3303-1003
403420,稔ヶ丘,ミノリガオカ,中野区,165-0031,上鷺宮5-11-1,東京都中野区上鷺宮5-11-1,03-3990-4226
403510,大泉桜,オオイズミサクラ,練馬区,178-0062,大泉町3-5-7,東京都練馬区大泉町3-5-7,03-3978-1180
403630,第四商業,ダイヨンショウギョウ,練馬区,176-0021,貫井3-45-19,東京都練馬区貫井3-45-19,03-3990-4221
403710,中野工科,ナカノコウカ,中野区,165-0027,野方3-5-5,東京都中野区野方3-5-5,03-3385-7445
403720,杉並工科,スギナミコウカ,杉並区,167-0023,上井草4-13-31,東京都杉並区上井草4-13-31,03-3394-2471
403730,練馬工科,ネリマコウカ,練馬区,179-8909,早宮2-9-18,東京都練馬区早宮2-9-18,03-3932-9251
403810,農芸,ノウゲイ,杉並区,167-0035,今川3-25-1,東京都杉並区今川3-25-1,03-3399-0191
404010,竹早,タケハヤ,文京区,112-0002,小石川4-2-1,東京都文京区小石川4-2-1,03-3811-6961
404020,向丘,ムコウガオカ,文京区,113-0023,向丘1-11-18,東京都文京区向丘1-11-18,03-3811-2022
404040,豊島,トシマ,豊島区,171-0044,千早4-9-21,東京都豊島区千早4-9-21,03-3958-0121
404050,文京,ブンキョウ,豊島区,170-0001,西巣鴨1-1-5,東京都豊島区西巣鴨1-1-5,03-3910-8231
404210,北園,キタゾノ,板橋区,173-0004,板橋4-14-1,東京都板橋区板橋4-14-1,03-3962-7885
404220,板橋,イタバシ,板橋区,173-0035,大谷口1-54-1,東京都板橋区大谷口1-54-1,03-3973-3150
404250,大山,オオヤマ,板橋区,173-0037,小茂根5-18-1,東京都板橋区小茂根5-18-1,03-3958-2121
404260,高島,タカシマ,板橋区,175-0082,高島平3-7-1,東京都板橋区高島平3-7-1,03-3938-3125
404410,桐ヶ丘,キリガオカ,北区,115-0052,赤羽北3-5-22,東京都北区赤羽北3-5-22,03-3906-2173
404420,王子総合,オウジソウゴウ,北区,114-0023,滝野川3－54－7,東京都北区滝野川3－54－7,03-3576-0602
404510,飛鳥,アスカ,北区,114-8561,王子6-8-8,東京都北区王子6-8-8,03-3913-5071
404520,板橋有徳,イタバシユウトク,板橋区,175-0083,徳丸2-17-1,東京都板橋区徳丸2-17-1,03-3937-6911
404640,千早,チハヤ,豊島区,171-0044,千早3-46-21,東京都豊島区千早3-46-21,03-5964-1721
404710,工芸,コウゲイ,文京区,113-0033,本郷1-3-9,東京都文京区本郷1-3-9,03-3814-8755
404730,北豊島工科,キタトシマコウカ,板橋区,174-0062,富士見町28-1,東京都板橋区富士見町28-1,03-3963-4331
404910,赤羽北桜,アカバネホクオウ,北区,115-0056,西が丘3-14-20,東京都北区西が丘3-14-20,03-5948-4390
405040,白鴎,ハクオウ,台東区,111-0041,元浅草1-6-22,東京都台東区元浅草1-6-22,03-3843-5678
405050,忍岡,シノブガオカ,台東区,111-0053,浅草橋5-1-24,東京都台東区浅草橋5-1-24,03-3863-3131
405060,上野,ウエノ,台東区,110-8717,上野公園10-14,東京都台東区上野公園10-14,03-3821-3706
405070,竹台,タケノダイ,荒川区,116-0014,東日暮里5-14-1,東京都荒川区東日暮里5-14-1,03-3891-1515
405210,足立,アダチ,足立区,120-0011,中央本町1-3-9,東京都足立区中央本町1-3-9,03-3889-2204
405220,江北,コウホク,足立区,120-0014,西綾瀬4-14-30,東京都足立区西綾瀬4-14-30,03-3880-3411
405230,淵江,フチエ,足立区,121-0063,東保木間2-10-1,東京都足立区東保木間2-10-1,03-3885-6971
405240,足立西,アダチニシ,足立区,123-0872,江北5-7-1,東京都足立区江北5-7-1,03-3898-7020
405250,足立東,アダチヒガシ,足立区,120-0001,大谷田2-3-5,東京都足立区大谷田2-3-5,03-3620-5991
405260,青井,アオイ,足立区,120-0012,青井1-7-35,東京都足立区青井1-7-35,03-3848-2781
405270,足立新田,アダチシンデン,足立区,123-0865,新田2-10-16,東京都足立区新田2-10-16,03-3914-4211
405410,晴海総合,ハルミソウゴウ,中央区,104-0053,晴海1-2-1,東京都中央区晴海1-2-1,03-3531-5021
405420,小台橋,オダイバシ,足立区,120-8528,小台2-1-31,東京都足立区小台2-1-31,03-3913-1111
405520,浅草,アサクサ,台東区,111-0024,今戸1-8-13,東京都台東区今戸1-8-13,03-3874-3182
405710,蔵前工科,クラマエコウカ,台東区,111-0051,蔵前1-3-57,東京都台東区蔵前1-3-57,03-3862-4488
405720,荒川工科,アラカワコウカ,荒川区,116-0003,南千住6-42-1,東京都荒川区南千住6-42-1,03-3802-1178
405730,足立工科,アダチコウカ,足立区,123-0841,西新井4-30-1,東京都足立区西新井4-30-1,03-3899-1196
406010,両国,リョウゴク,墨田区,130-0022,江東橋1-7-14,東京都墨田区江東橋1-7-14,03-3631-1815
406020,墨田川,スミダガワ,墨田区,131-0032,東向島3-34-14,東京都墨田区東向島3-34-14,03-3611-2125
406030,本所,ホンジョ,墨田区,131-0033,向島3-37-25,東京都墨田区向島3-37-25,03-3622-0344
406040,葛飾野,カツシカノ,葛飾区,125-0061,亀有1-7-1,東京都葛飾区亀有1-7-1,03-3602-7131
406050,南葛飾,ミナミカツシカ,葛飾区,124-0012,立石6-4-1,東京都葛飾区立石6-4-1,03-3691-8476
406070,日本橋,ニホンバシ,墨田区,131-0041,八広1-28-21,東京都墨田区八広1-28-21,03-3617-1811
406210,深川,フカガワ,江東区,135-0016,東陽5-32-19,東京都江東区東陽5-32-19,03-3649-2101
406220,東,ヒガシ,江東区,136-0074,東砂7-19-24,東京都江東区東砂7-19-24,03-3644-7176
406230,城東,ジョウトウ,江東区,136-0072,大島3-22-1,東京都江東区大島3-22-1,03-3637-3561
406240,小松川,コマツガワ,江戸川区,132-0035,平井1-27-10,東京都江戸川区平井1-27-10,03-3685-1010
406250,江戸川,エドガワ,江戸川区,132-0031,松島2-38-1,東京都江戸川区松島2-38-1,03-3651-0297
406260,小岩,コイワ,江戸川区,133-0044,本一色3-10-1,東京都江戸川区本一色3-10-1,03-3651-2250
406270,葛西南,カサイミナミ,江戸川区,134-8555,南葛西1-11-1,東京都江戸川区南葛西1-11-1,03-3687-4491
406280,篠崎,シノザキ,江戸川区,133-0063,東篠崎1-10-1,東京都江戸川区東篠崎1-10-1,03-3678-9331
406290,紅葉川,モミジガワ,江戸川区,134-8573,臨海町2-1-1,東京都江戸川区臨海町2-1-1,03-3878-3021
406410,大江戸,オオエド,江東区,135-0015,千石3-2-11,東京都江東区千石3-2-11,03-5606-9500
406420,葛飾総合,カツシカソウゴウ,葛飾区,125-0035,南水元4-21-1,東京都葛飾区南水元4-21-1,03-3607-3878
406620,葛飾商業,カツシカショウギョウ,葛飾区,125-0051,新宿3-14-1,東京都葛飾区新宿3-14-1,03-3607-5178
406630,江東商業,コウトウショウギョウ,江東区,136-0071,亀戸4-50-1,東京都江東区亀戸4-50-1,03-3685-1711
406640,第三商業,ダイサンショウギョウ,江東区,135-0044,越中島3-3-1,東京都江東区越中島3-3-1,03-3641-0380
406720,本所工科,ホンジョコウカ,葛飾区,125-0035,南水元4-21-1,東京都葛飾区南水元4-21-1,03-3607-4500
406730,墨田工科,スミダコウカ,江東区,135-0004,森下5-1-7,東京都江東区森下5-1-7,03-3631-4928
406760,葛西工科,カサイコウカ,江戸川区,132-0024,一之江7-68-1,東京都江戸川区一之江7-68-1,03-3653-4111
406780,科学技術,カガクギジュツ,江東区,136-0072,大島1-2-31,東京都江東区大島1-2-31,03-5609-0227
406810,農産,ノウサン,葛飾区,124-0002,西亀有1-28-1,東京都葛飾区西亀有1-28-1,03-3602-2865
406910,橘,タチバナ,墨田区,131-0043,立花4-29-7,東京都墨田区立花4-29-7,03-3617-8311
407020,富士森,フジモリ,八王子市,193-0824,長房町420-2,東京都八王子市長房町420-2,042-661-0444
407030,片倉,カタクラ,八王子市,192-0914,片倉町1643,東京都八王子市片倉町1643,042-635-3621
407040,八王子東,ハチオウジヒガシ,八王子市,192-8568,高倉町68-1,東京都八王子市高倉町68-1,042-644-6996
407050,八王子北,ハチオウジキタ,八王子市,193-0803,楢原町601,東京都八王子市楢原町601,042-626-3787
407070,松が谷,マツガヤ,八王子市,192-0354,松が谷1772,東京都八王子市松が谷1772,042-676-1231
407080,日野,ヒノ,日野市,191-0021,石田1-190-1,東京都日野市石田1-190-1,042-581-7123
407090,日野台,ヒノダイ,日野市,191-0061,大坂上4-16-1,東京都日野市大坂上4-16-1,042-582-2511
407100,南平,ミナミダイラ,日野市,191-0041,南平8-2-3,東京都日野市南平8-2-3,042-593-5121
407210,町田,マチダ,町田市,194-0021,中町4-25-3,東京都町田市中町4-25-3,042-722-2201
407230,野津田,ノヅタ,町田市,195-0063,野津田町2001,東京都町田市野津田町2001,042-734-2311
407240,成瀬,ナルセ,町田市,194-0044,成瀬7-4-1,東京都町田市成瀬7-4-1,042-725-1533
407250,小川,オガワ,町田市,194-0003,小川2-1002-1,東京都町田市小川2-1002-1,042-796-9301
407260,山崎,ヤマサキ,町田市,195-0074,山崎町1453-1,東京都町田市山崎町1453-1,042-792-2891
407420,町田総合,マチダソウゴウ,町田市,194-0037,木曽西3-5-1,東京都町田市木曽西3-5-1,042-791-7980
407510,翔陽,ショウヨウ,八王子市,193-0944,館町1097-136,東京都八王子市館町1097-136,042-663-3318
407520,八王子拓真,ハチオウジタクシン,八王子市,193-0931,台町3-25-1,東京都八王子市台町3-25-1,042-622-7563
407720,町田工科,マチダコウカ,町田市,194-0035,忠生1-20-2,東京都町田市忠生1-20-2,042-791-1035
407910,八王子桑志,ハチオウジソウシ,八王子市,193-0835,千人町4-8-1,東京都八王子市千人町4-8-1,042-663-5970
408010,立川,タチカワ,立川市,190-0022,錦町2-13-5,東京都立川市錦町2-13-5,042-524-8195
408030,砂川,スナガワ,立川市,190-8583,泉町935-4,東京都立川市泉町935-4,042-537-4611
408040,昭和,ショウワ,昭島市,196-0033,東町2-3-21,東京都昭島市東町2-3-21,042-541-0222
408050,拝島,ハイジマ,昭島市,196-0002,拝島町4-13-1,東京都昭島市拝島町4-13-1,042-543-1772
408060,東大和,ヒガシヤマト,東大和市,207-0015,中央3-945,東京都東大和市中央3-945,042-563-1741
408070,武蔵村山,ムサシムラヤマ,武蔵村山市,208-0035,中原1-7-1,東京都武蔵村山市中原1-7-1,042-560-1271
408090,東大和南,ヒガシヤマトミナミ,東大和市,207-0022,桜が丘3-44-8,東京都東大和市桜が丘3-44-8,042-565-7117
408210,多摩,タマ,青梅市,198-0088,裏宿町580,東京都青梅市裏宿町580,0428-23-2151
408230,福生,フッサ,福生市,197-0005,北田園2-11-3,東京都福生市北田園2-11-3,042-552-5601
408240,秋留台,アキルダイ,あきる野市,197-0812,平沢153-4,東京都あきる野市平沢153-4,042-559-6821
408250,羽村,ハムラ,羽村市,205-0012,羽4152-1,東京都羽村市羽4152-1,042-555-6631
408260,五日市,イツカイチ,あきる野市,190-0164,五日市894,東京都あきる野市五日市894,042-596-0176
408420,青梅総合,オウメソウゴウ,青梅市,198-0041,勝沼1-60-1,東京都青梅市勝沼1-60-1,0428-22-7604
408430,立川緑,タチカワミドリ,立川市,190-0022,錦町6-3-1,東京都立川市錦町6-3-1,042-529-3080
408510,上水,ジョウスイ,武蔵村山市,208-0013,大南4-62-1,東京都武蔵村山市大南4-62-1,042-590-4580
408710,多摩工科,タマコウカ,福生市,197-0003,熊川215,東京都福生市熊川215,042-551-3435
408820,瑞穂農芸,ミズホノウゲイ,瑞穂町,190-1211,石畑2027,東京都瑞穂町石畑2027,042-557-0142
409010,武蔵,ムサシ,武蔵野市,180-0022,境4-13-28,東京都武蔵野市境4-13-28,0422-51-4554
409020,武蔵野北,ムサシノキタ,武蔵野市,180-0011,八幡町2-3-10,東京都武蔵野市八幡町2-3-10,0422-55-2071
409030,小金井北,コガネイキタ,小金井市,184-0003,緑町4-1-1,東京都小金井市緑町4-1-1,042-385-2611
409040,保谷,ホウヤ,西東京市,202-0005,住吉町5-8-23,東京都西東京市住吉町5-8-23,042-422-3223
409060,久留米西,クルメニシ,東久留米市,203-0041,野火止2-1-44,東京都東久留米市野火止2-1-44,042-474-2661
409070,田無,タナシ,西東京市,188-0013,向台町5-4-34,東京都西東京市向台町5-4-34,042-463-8511
409210,小平,コダイラ,小平市,187-0042,仲町112,東京都小平市仲町112,042-341-5410
409220,小平西,コダイラニシ,小平市,187-0032,小川町1-502-95,東京都小平市小川町1-502-95,042-345-1411
409230,東村山,ヒガシムラヤマ,東村山市,189-0011,恩多町4-26-1,東京都東村山市恩多町4-26-1,042-392-1235
409240,国分寺,コクブンジ,国分寺市,185-0004,新町3-2-5,東京都国分寺市新町3-2-5,042-323-3371
409250,清瀬,キヨセ,清瀬市,204-0022,松山3-1-56,東京都清瀬市松山3-1-56,042-492-3500
409270,小平南,コダイラミナミ,小平市,187-0022,上水本町6-21-1,東京都小平市上水本町6-21-1,042-325-9331
409280,東村山西,ヒガシムラヤマニシ,東村山市,189-0024,富士見町5-4-41,東京都東村山市富士見町5-4-41,042-395-9121
409410,東久留米総合,ヒガシクルメソウゴウ,東久留米市,203-0052,幸町5-8-46,東京都東久留米市幸町5-8-46,042-471-2510
409710,小金井工科,コガネイコウカ,小金井市,184-8581,本町6-8-9,東京都小金井市本町6-8-9,042-381-4141
409720,田無工科,タナシコウカ,西東京市,188-0013,向台町1-9-1,東京都西東京市向台町1-9-1,042-464-2225
409730,多摩科学技術,タマカガクギジュツ,小金井市,184-8581,本町6-8-9,東京都小金井市本町6-8-9,042-381-4164
410020,神代,ジンダイ,調布市,182-0003,若葉町1-46-1,東京都調布市若葉町1-46-1,03-3300-8261
410030,調布北,チョウフキタ,調布市,182-0011,深大寺北町5-39-1,東京都調布市深大寺北町5-39-1,042-487-1860
410040,調布南,チョウフミナミ,調布市,182-0025,多摩川6-2-1,東京都調布市多摩川6-2-1,042-483-0765
410050,狛江,コマエ,狛江市,201-8501,元和泉3-9-1,東京都狛江市元和泉3-9-1,03-3489-2241
410210,府中,フチュウ,府中市,183-0051,栄町3-3-1,東京都府中市栄町3-3-1,042-364-8411
410220,府中東,フチュウヒガシ,府中市,183-0012,押立町4-21,東京都府中市押立町4-21,042-365-7611
410230,府中西,フチュウニシ,府中市,183-0036,日新町4-6-7,東京都府中市日新町4-6-7,042-365-5933
410240,国立,クニタチ,国立市,186-0002,東4-25-1,東京都国立市東4-25-1,042-575-0126
410250,永山,ナガヤマ,多摩市,206-0025,永山5-22,東京都多摩市永山5-22,042-374-9891
410410,若葉総合,ワカバソウゴウ,稲城市,206-0822,坂浜1434-3,東京都稲城市坂浜1434-3,042-350-0300
410610,第五商業,ダイゴショウギョウ,国立市,186-0004,中3-4-1,東京都国立市中3-4-1,042-572-0132
410710,府中工科,フチュウコウカ,府中市,183-0005,若松町2-19-1,東京都府中市若松町2-19-1,042-362-7237
410810,農業,ノウギョウ,府中市,183-0056,寿町1-10-2,東京都府中市寿町1-10-2,042-362-2211
411010,大島,オオシマ,大島町,100-0101,元町字八重の水127,東京都大島町元町字八重の水127,04992-2-1431
411030,新島,ニイジマ,新島村,100-0402,本村4-10-1,東京都新島村本村4-10-1,04992-5-0091
411040,神津,コウヅ,神津島村,100-0601,神津島村1620,東京都神津島村神津島村1620,04992-8-0706
411910,大島海洋国際,オオシマカイヨウコクサイ,大島町,100-0211,差木地字下原996-1,東京都大島町差木地字下原996-1,04992-4-0385
412010,三宅,ミヤケ,三宅村,100-1211,坪田4586,東京都三宅村坪田4586,04994-6-1136
413010,八丈,ハチジョウ,八丈町,100-1401,大賀郷3020,東京都八丈町大賀郷3020,04996-2-1181
414010,小笠原,オガサワラ,小笠原村,100-2101,父島字清瀬,東京都小笠原村父島字清瀬,04998-2-2346
