category,municipality,school_name,course,capacity,applicants,examinees,ratio
普通科コース制,八王子,片倉,造形美術,56,37,36,0.64
普通科コース制,八王子,松が谷,外国語,56,82,77,1.38
普通科コース制,小平,小平,外国語,56,81,70,1.25
普通科単位制,新宿,新宿,,284,629,558,1.96
普通科単位制,台東,忍岡,,124,134,127,1.02
普通科単位制,墨田,墨田川,,252,296,274,1.09
普通科単位制,大田,美原,,156,115,106,0.68
普通科単位制,世田谷,深沢,,130,82,72,0.55
普通科単位制,世田谷,芦花,,220,322,286,1.30
普通科単位制,北,飛鳥,,170,196,180,1.06
普通科単位制,板橋,板橋有徳,,156,155,147,0.94
普通科単位制,練馬,大泉桜,,156,150,140,0.90
普通科単位制,八王子,翔陽,,188,181,171,0.91
普通科単位制,国分寺,国分寺,,252,409,372,1.48
普通科単位制,武蔵村山,上水,,188,279,276,1.47
商業,港,芝商業,ビジネス,100,84,80,0.80
商業,江東,江東商業,ビジネス,105,93,87,0.83
商業,江東,第三商業,ビジネス,105,115,112,1.07
商業,渋谷,第一商業,ビジネス,131,68,54,0.41
商業,練馬,第四商業,ビジネス,105,85,82,0.78
商業,葛飾,葛飾商業,ビジネス,126,106,105,0.83
商業,国立,第五商業,ビジネス,126,166,164,1.30
ビジネスコミュニケーション科,大田,大田桜台,ビジネスコミュニケーション,105,87,80,0.76
ビジネスコミュニケーション科,豊島,千早,ビジネスコミュニケーション,126,140,131,1.04
工業,文京,工芸,マシンクラフト,25,36,34,1.36
工業,文京,工芸,アートクラフト,25,34,33,1.32
工業,文京,工芸,インテリア,25,49,45,1.80
工業,文京,工芸,デザイン,25,47,46,1.84
工業,文京,工芸,グラフィックアーツ,25,46,42,1.68
工業,台東,蔵前工科,機械,41,17,15,0.37
工業,台東,蔵前工科,電気,21,20,18,0.86
工業,台東,蔵前工科,建築,21,25,25,1.19
工業,台東,蔵前工科,設備工業,24,9,8,0.33
工業,江東,墨田工科,機械,21,9,9,0.43
工業,江東,墨田工科,自動車,21,27,26,1.24
工業,江東,墨田工科,電気,46,16,14,0.30
工業,江東,墨田工科,建築,26,13,12,0.46
工業,世田谷,総合工科,機械・自動車,21,14,14,0.67
工業,世田谷,総合工科,電気・情報デザイン,21,11,10,0.48
工業,世田谷,総合工科,建築・都市工学,46,18,17,0.37
工業,中野,中野工科,食品サイエンス,84,73,69,0.82
工業,杉並,杉並工科,IT・環境,111,36,30,0.27
工業,荒川,荒川工科,電気,23,12,10,0.43
工業,荒川,荒川工科,電子,25,4,4,0.16
工業,荒川,荒川工科,情報技術,64,14,13,0.20
工業,板橋,北豊島工科,都市防災技術,97,39,37,0.38
工業,練馬,練馬工科,キャリア技術,105,95,93,0.89
工業,足立,足立工科,総合技術,95,55,55,0.58
工業,江戸川,葛西工科,機械,21,17,15,0.71
工業,江戸川,葛西工科,電子,21,24,24,1.14
工業,江戸川,葛西工科,建築,49,28,28,0.57
工業,江戸川,葛西工科,デュアルシステム,31,19,19,0.61
工業,府中,府中工科,機械,21,27,27,1.29
工業,府中,府中工科,電気,43,27,26,0.60
工業,府中,府中工科,情報技術,21,28,28,1.33
工業,府中,府中工科,工業技術,21,19,17,0.81
工業,町田,町田工科,総合情報,108,53,49,0.45
工業,福生,多摩工科,機械,42,51,51,1.21
工業,福生,多摩工科,電気,21,18,18,0.86
工業,福生,多摩工科,環境化学,25,10,9,0.36
工業,福生,多摩工科,デュアルシステム,21,22,21,1.00
工業,西東京,田無工科,機械,48,36,36,0.75
工業,西東京,田無工科,建築,42,37,35,0.83
工業,西東京,田無工科,都市工学,21,12,12,0.57
工業,大田,六郷工科,ものづくり工学,96,72,64,0.67
科学技術科,江東,科学技術,科学技術,107,78,51,0.48
科学技術科,小金井,多摩科学技術,科学技術,147,209,153,1.04
農業,世田谷,園芸,園芸,49,45,41,0.84
農業,世田谷,園芸,食品,25,23,23,0.92
農業,世田谷,園芸,動物,25,52,52,2.08
農業,杉並,農芸,園芸科学,23,29,27,1.17
農業,杉並,農芸,食品科学,46,41,39,0.85
農業,杉並,農芸,緑地環境,23,19,16,0.70
農業,葛飾,農産,園芸デザイン,42,41,41,0.98
農業,葛飾,農産,食品,42,51,50,1.19
農業,府中,農業,都市園芸,21,40,38,1.81
農業,府中,農業,食品科学,21,19,18,0.86
農業,府中,農業,緑地計画,21,18,17,0.81
農業,瑞穂,瑞穂農芸,園芸科学,25,18,18,0.72
農業,瑞穂,瑞穂農芸,畜産科学,25,31,29,1.16
農業,瑞穂,瑞穂農芸,食品,25,23,22,0.88
水産,大島,大島海洋国際,海洋国際,42,57,54,1.29
家庭,北,赤羽北桜,保育・栄養,98,96,92,0.94
家庭,北,赤羽北桜,調理,25,40,38,1.52
家庭,府中,農業,服飾,25,25,25,1.00
家庭,府中,農業,食物,25,35,34,1.36
家庭,瑞穂,瑞穂農芸,生活デザイン,49,26,26,0.53
家庭,台東,忍岡,生活科学,49,54,53,1.08
福祉,北,赤羽北桜,介護福祉,25,27,25,1.00
福祉,町田,野津田,福祉,29,7,6,0.21
理数,江東,科学技術,創造理数,37,69,54,1.46
理数,立川,立川,創造理数,34,141,134,3.94
芸術,新宿,総合芸術,音楽,28,33,23,0.82
芸術,新宿,総合芸術,美術,56,111,110,1.96
芸術,新宿,総合芸術,舞台表現,28,38,38,1.36
体育,目黒,駒場,保健体育,28,34,32,1.14
体育,町田,野津田,体育,28,28,27,0.96
国際関係,目黒,国際,国際,98,199,158,1.61
併合科,大島,大島,農林・家政,35,10,10,0.29
併合科,三宅,三宅,農業・家政,35,3,3,0.09
併合科,八丈,八丈,園芸・家政,35,3,3,0.09
産業科,墨田,橘,産業,148,78,76,0.51
産業科,八王子,八王子桑志,デザイン分野,42,46,45,1.07
産業科,八王子,八王子桑志,クラフト分野,21,27,23,1.10
産業科,八王子,八王子桑志,システム情報分野,21,32,30,1.43
産業科,八王子,八王子桑志,ビジネス情報分野,42,44,44,1.05
総合学科,中央,晴海総合,総合,192,399,373,1.94
総合学科,大田,つばさ総合,総合,164,183,170,1.04
総合学科,世田谷,世田谷総合,総合,164,188,174,1.06
総合学科,杉並,杉並総合,総合,150,213,201,1.34
総合学科,北,王子総合,総合,164,175,170,1.04
総合学科,葛飾,葛飾総合,総合,136,141,138,1.01
総合学科,青梅,青梅総合,総合,164,165,160,0.98
総合学科,町田,町田総合,総合,164,165,164,1.00
総合学科,東久留米,東久留米総合,総合,164,217,215,1.31
総合学科,稲城,若葉総合,総合,164,138,131,0.80
