school_code,school_name,official_name,school_name_kana,founder,municipality,postal_code,address,full_address,phone,url,official_lat,official_lon,note
0050001285,鶴見,神奈川県立鶴見高等学校,カナガワケンリツツルミコウトウガッコウ,神奈川県,横浜市鶴見区,230-0012,下末吉6-2-1,神奈川県横浜市鶴見区下末吉6-2-1,045-581-4692,https://www.pen-kanagawa.ed.jp/tsurumi-h,35.51904687,139.6632547,
0050001313,岸根,神奈川県立岸根高等学校,カナガワケンリツキシネコウトウガッコウ,神奈川県,横浜市港北区,222-0034,岸根町370,神奈川県横浜市港北区岸根町370,045-401-7872,https://www.pen-kanagawa.ed.jp/kishine-h,35.50079346,139.6133421,
0050001337,住吉,神奈川県立住吉高等学校,カナガワケンリツスミヨシコウトウガッコウ,神奈川県,川崎市中原区,211-0021,木月住吉町34-1,神奈川県川崎市中原区木月住吉町34-1,044-433-8555,https://www.pen-kanagawa.ed.jp/sumiyoshi-h,35.56692117,139.6594912,
0250000669,市立高津,川崎市立高津高等学校,カワサキシリツタカツコウトウガッコウ,川崎市,川崎市高津区,213-0011,久本3-11-1,神奈川県川崎市高津区久本3-11-1,044-811-2555,https://kawasaki-edu.jp/5/takatsu-zen,35.59604769,139.6165913,
0050001320,荏田,神奈川県立荏田高等学校,カナガワケンリツエダコウトウガッコウ,神奈川県,横浜市都筑区,224-0007,荏田南3-9-1,神奈川県横浜市都筑区荏田南3-9-1,045-941-3111,https://www.pen-kanagawa.ed.jp/eda-h,35.54891692,139.5546126,
0050001290,城郷,神奈川県立城郷高等学校,カナガワケンリツシロサトコウトウガッコウ,神奈川県,横浜市神奈川区,221-0862,三枚町364-1,神奈川県横浜市神奈川区三枚町364-1,045-382-5256,https://www.pen-kanagawa.ed.jp/shirosato-h,35.49037328,139.60053,
0050001346,麻生,神奈川県立麻生高等学校,カナガワケンリツアサオコウトウガッコウ,神奈川県,川崎市麻生区,215-0006,金程3-4-1,神奈川県川崎市麻生区金程3-4-1,044-966-7766,https://www.pen-kanagawa.ed.jp/asao-h,35.6119487,139.4981934,
0050001314,霧が丘,神奈川県立霧が丘高等学校,カナガワケンリツキリガオカコウトウガッコウ,神奈川県,横浜市緑区,226-0016,霧が丘6-16-1,神奈川県横浜市緑区霧が丘6-16-1,045-921-6911,https://www.pen-kanagawa.ed.jp/kirigaoka-h,35.5097272,139.5015512,
0050001333,県立川崎,神奈川県立川崎高等学校,カナガワケンリツカワサキコウトウガッコウ,神奈川県,川崎市川崎区,210-0845,渡田山王町22-6,神奈川県川崎市川崎区渡田山王町22-6,044-344-5821,https://www.pen-kanagawa.ed.jp/kawasaki-h,35.51728907,139.6971788,
0250000666,市立幸,川崎市立幸高等学校,カワサキシリツサイワイコウトウガッコウ,川崎市,川崎市幸区,212-0023,戸手本町1-150,神奈川県川崎市幸区戸手本町1-150,044-522-0125,https://kawasaki-edu.jp/5/saiwai,35.54202532,139.6863635,
0050001338,川崎北,神奈川県立川崎北高等学校,カナガワケンリツカワサキキタコウトウガッコウ,神奈川県,川崎市宮前区,216-0003,有馬3-22-1,神奈川県川崎市宮前区有馬3-22-1,044-855-2631,https://www.pen-kanagawa.ed.jp/kawasakikita-h,35.5739258,139.5864003,
0050001342,百合丘,神奈川県立百合丘高等学校,カナガワケンリツユリガオカコウトウガッコウ,神奈川県,川崎市多摩区,214-0036,南生田4-2-1,神奈川県川崎市多摩区南生田4-2-1,044-977-8955,https://www.pen-kanagawa.ed.jp/yurigaoka-h,35.60100039,139.5348585,
0050001321,新栄,神奈川県立新栄高等学校,カナガワケンリツシンエイコウトウガッコウ,神奈川県,横浜市都筑区,224-0035,新栄町1-1,神奈川県横浜市都筑区新栄町1-1,045-593-0307,https://www.pen-kanagawa.ed.jp/shinei-h,35.53677202,139.5955514,
0050001312,新羽,神奈川県立新羽高等学校,カナガワケンリツニッパコウトウガッコウ,神奈川県,横浜市港北区,223-0057,新羽町1348,神奈川県横浜市港北区新羽町1348,045-543-8631,https://www.pen-kanagawa.ed.jp/nippa-h,35.52046118,139.6051618,
0050001343,生田東,神奈川県立生田東高等学校,カナガワケンリツイクタヒガシコウトウガッコウ,神奈川県,川崎市多摩区,214-0038,生田4-32-1,神奈川県川崎市多摩区生田4-32-1,044-932-1211,https://www.pen-kanagawa.ed.jp/ikutahigashi-h,35.61874067,139.5465451,
0050001315,白山,神奈川県立白山高等学校,カナガワケンリツハクサンコウトウガッコウ,神奈川県,横浜市緑区,226-0006,白山4-71-1,神奈川県横浜市緑区白山4-71-1,045-933-2231,https://www.pen-kanagawa.ed.jp/hakusan-h,35.49865122,139.5514237,
0050001344,菅,神奈川県立菅高等学校,カナガワケンリツスゲコウトウガッコウ,神奈川県,川崎市多摩区,214-0004,菅馬場4-2-1,神奈川県川崎市多摩区菅馬場4-2-1,044-944-4141,https://www.pen-kanagawa.ed.jp/suge-h,35.62277726,139.5278714,
0050001334,大師,神奈川県立大師高等学校,カナガワケンリツダイシコウトウガッコウ,神奈川県,川崎市川崎区,210-0827,四谷下町25-1,神奈川県川崎市川崎区四谷下町25-1,044-276-1201,https://www.pen-kanagawa.ed.jp/daishi-ih,35.52459074,139.7363462,
0050001325,柏陽,神奈川県立柏陽高等学校,カナガワケンリツハクヨウコウトウガッコウ,神奈川県,横浜市栄区,247-0004,柏陽1-1,神奈川県横浜市栄区柏陽1-1,045-892-2105,https://www.pen-kanagawa.ed.jp/hakuyo-h,35.36591767,139.5533548,
0050001292,横浜緑ケ丘,神奈川県立横浜緑ケ丘高等学校,カナガワケンリツヨコハマミドリガオカコウトウガッコウ,神奈川県,横浜市中区,231-0832,本牧緑ケ丘37,神奈川県横浜市中区本牧緑ケ丘37,045-621-8641,https://www.pen-kanagawa.ed.jp/y-midorigaoka-h,,,
0050001302,希望ケ丘,神奈川県立希望ケ丘高等学校,カナガワケンリツキボウガオカコウトウガッコウ,神奈川県,横浜市旭区,241-0824,南希望が丘79-1,神奈川県横浜市旭区南希望が丘79-1,045-391-0061,https://www.pen-kanagawa.ed.jp/kibogaoka-h,35.45596071,139.5113745,
0050001299,光陵,神奈川県立光陵高等学校,カナガワケンリツコウリョウコウトウガッコウ,神奈川県,横浜市保土ケ谷区,240-0026,権太坂1-7-1,神奈川県横浜市保土ケ谷区権太坂1-7-1,045-712-5577,https://www.pen-kanagawa.ed.jp/koryo-h,35.44329128,139.5744751,
0150000496,市立金沢,横浜市立金沢高等学校,ヨコハマシリツカナザワコウトウガッコウ,横浜市,横浜市金沢区,236-0027,瀬戸22-1,神奈川県横浜市金沢区瀬戸22-1,045-781-5761,https://www.edu.city.yokohama.lg.jp/school/hs/kanazawa/,,,
0050001291,横浜平沼,神奈川県立横浜平沼高等学校,カナガワケンリツヨコハマヒラヌマコウトウガッコウ,神奈川県,横浜市西区,220-0073,岡野1-5-8,神奈川県横浜市西区岡野1-5-8,045-313-9200,https://www.pen-kanagawa.ed.jp/yokohamahiranuma-h,35.46173105,139.6150775,
0150000495,市立桜丘,横浜市立桜丘高等学校,ヨコハマシリツサクラガオカコウトウガッコウ,横浜市,横浜市保土ケ谷区,240-0011,桜ヶ丘2-15-1,神奈川県横浜市保土ヶ谷区桜ヶ丘2-15-1,045-331-5021,https://www.edu.city.yokohama.jp/sch/hs/sakura/,,,
0150000497,市立戸塚,横浜市立戸塚高等学校,ヨコハマシリツトツカコウトウガッコウ,横浜市,横浜市戸塚区,245-0061,汲沢2-27-1,神奈川県横浜市戸塚区汲沢2-27-1,045-871-0301,https://www.edu.city.yokohama.lg.jp/school/hs/totsuka/（全日）https://www.edu.city.yokohama.jp/sch/hs/totsuka-t/（定時）,,,
0050001328,松陽,神奈川県立松陽高等学校,カナガワケンリツショウヨウコウトウガッコウ,神奈川県,横浜市泉区,245-0016,和泉町7713,神奈川県横浜市泉区和泉町7713,045-803-3036,https://www.pen-kanagawa.ed.jp/shoyo-h,35.43749987,139.4940796,
0050001327,横浜栄,神奈川県立横浜栄高等学校,カナガワケンリツヨコハマサカエコウトウガッコウ,神奈川県,横浜市栄区,247-0013,上郷町555,神奈川県横浜市栄区上郷町555,045-891-5581,https://www.pen-kanagawa.ed.jp/yokohamasakae-h,35.36511661,139.5803859,
0050001429,横浜瀬谷,神奈川県立横浜瀬谷高等学校,カナガワケンリツヨコハマセヤコウトウガッコウ,神奈川県,横浜市瀬谷区,246-0011,東野台29-1,神奈川県横浜市瀬谷区東野台29-1,045-301-6747,https://www.pen-kanagawa.ed.jp/yokohamaseya-h,,,
0050001308,横浜氷取沢,神奈川県立横浜氷取沢高等学校,カナガワケンリツヨコハマヒトリザワコウトウガッコウ,神奈川県,横浜市磯子区,235-0043,氷取沢町938-2,神奈川県横浜市磯子区氷取沢町938-2,045-772-0606,https://www.pen-kanagawa.ed.jp/y-hitorizawa-h,35.36321987,139.6118362,
0050001294,横浜清陵,神奈川県立横浜清陵高等学校,カナガワケンリツヨコハマセイリョウコウトウガッコウ,神奈川県,横浜市南区,232-0007,清水ケ丘41,神奈川県横浜市南区清水ケ丘41,045-242-1926,https://www.pen-kanagawa.ed.jp/y-seiryo-h,35.43749318,139.6097849,
0050001326,金井,神奈川県立金井高等学校,カナガワケンリツカナイコウトウガッコウ,神奈川県,横浜市栄区,244-0845,金井町100,神奈川県横浜市栄区金井町100,045-852-4721,https://www.pen-kanagawa.ed.jp/kanai-h,35.37440769,139.5236836,
0050001293,横浜立野,神奈川県立横浜立野高等学校,カナガワケンリツヨコハマタテノコウトウガッコウ,神奈川県,横浜市中区,231-0825,本牧間門40-1,神奈川県横浜市中区本牧間門40-1,045-621-0261,https://www.pen-kanagawa.ed.jp/y-tateno-h,35.41850343,139.654273,
0050001322,舞岡,神奈川県立舞岡高等学校,カナガワケンリツマイオカコウトウガッコウ,神奈川県,横浜市戸塚区,244-0814,南舞岡3-36-1,神奈川県横浜市戸塚区南舞岡3-36-1,045-823-8761,https://www.pen-kanagawa.ed.jp/maioka-h,35.39649045,139.5546501,
0050001296,横浜南陵,神奈川県立横浜南陵高等学校,カナガワケンリツヨコハマナンリョウコウトウガッコウ,神奈川県,横浜市港南区,234-0053,日野中央2-26-1,神奈川県横浜市港南区日野中央2-26-1,045-842-3764,https://www.pen-kanagawa.ed.jp/y-nanryo-h,35.38594124,139.5856787,
0050001303,二俣川,神奈川県立二俣川高等学校,カナガワケンリツフタマタガワコウトウガッコウ,神奈川県,横浜市旭区,241-0815,中尾1-5-1,神奈川県横浜市旭区中尾1-5-1,045-391-6165,https://www.pen-kanagawa.ed.jp/futamatagawa-h,35.46756089,139.5219743,
0050001304,旭,神奈川県立旭高等学校,カナガワケンリツアサヒコウトウガッコウ,神奈川県,横浜市旭区,241-0806,下川井町2247-1,神奈川県横浜市旭区下川井町2247-1,045-953-3301,https://www.pen-kanagawa.ed.jp/asahi-h,,,
0050001324,上矢部,神奈川県立上矢部高等学校,カナガワケンリツカミヤベコウトウガッコウ,神奈川県,横浜市戸塚区,245-0053,上矢部町3230,神奈川県横浜市戸塚区上矢部町3230,045-861-3500,https://www.pen-kanagawa.ed.jp/kamiyabe-h,35.41348871,139.5282562,
0050001329,横浜緑園,神奈川県立横浜緑園高等学校,カナガワケンリツヨコハマリョクエンコウトウガッコウ,神奈川県,横浜市泉区,245-0003,岡津町2667,神奈川県横浜市泉区岡津町2667,045-812-3371,https://www.pen-kanagawa.ed.jp/y-ryokuen-h,35.43208353,139.5243311,
0050001301,保土ケ谷,神奈川県立保土ケ谷高等学校,カナガワケンリツホドガヤコウトウガッコウ,神奈川県,横浜市保土ケ谷区,240-0045,川島町1557,神奈川県横浜市保土ケ谷区川島町1557,045-371-7781,https://www.pen-kanagawa.ed.jp/hodogaya-h,35.46618228,139.5627423,
0050001323,横浜桜陽,神奈川県立横浜桜陽高等学校,カナガワケンリツヨコハマオウヨウコウトウガッコウ,神奈川県,横浜市戸塚区,245-0062,汲沢町973,神奈川県横浜市戸塚区汲沢町973,045-862-9343,https://www.pen-kanagawa.ed.jp/y-oyo-h,35.39130882,139.5168964,
0050001379,湘南,神奈川県立湘南高等学校,カナガワケンリツショウナンコウトウガッコウ,神奈川県,藤沢市,251-0021,鵠沼神明5-6-10,神奈川県藤沢市鵠沼神明5-6-10,0466-26-4151,https://www.pen-kanagawa.ed.jp/shonan-h,35.3446473,139.4725432,
0050001361,横須賀,神奈川県立横須賀高等学校,カナガワケンリツヨコスカコウトウガッコウ,神奈川県,横須賀市,238-0022,公郷町3-109,神奈川県横須賀市公郷町3-109,046-851-0120,https://www.pen-kanagawa.ed.jp/yokosuka-h,35.25666326,139.6702068,
0050001375,鎌倉,神奈川県立鎌倉高等学校,カナガワケンリツカマクラコウトウガッコウ,神奈川県,鎌倉市,248-0026,七里ガ浜2-21-1,神奈川県鎌倉市七里ガ浜2-21-1,0467-32-4851,https://www.pen-kanagawa.ed.jp/kamakura-h,35.30838917,139.5039742,
0050001390,茅ケ崎北陵,神奈川県立茅ケ崎北陵高等学校,カナガワケンリツチガサキホクリョウコウトウガッコウ,神奈川県,茅ヶ崎市,253-0081,下寺尾128,神奈川県茅ヶ崎市下寺尾128,0467-51-0311,https://www.pen-kanagawa.ed.jp/chigasakihokuryo-h,35.36201099,139.3974175,
0050001365,追浜,神奈川県立追浜高等学校,カナガワケンリツオッパマコウトウガッコウ,神奈川県,横須賀市,237-0061,夏島町13,神奈川県横須賀市夏島町13,046-865-4174,https://www.pen-kanagawa.ed.jp/oppama-h,35.32021418,139.6331523,
0050001376,七里ガ浜,神奈川県立七里ガ浜高等学校,カナガワケンリツシチリガハマコウトウガッコウ,神奈川県,鎌倉市,248-0025,七里ガ浜東2-3-1,神奈川県鎌倉市七里ガ浜東2-3-1,0467-32-5457,https://www.pen-kanagawa.ed.jp/shichirigahama-h,35.30521267,139.5128072,
0050001380,藤沢西,神奈川県立藤沢西高等学校,カナガワケンリツフジサワニシコウトウガッコウ,神奈川県,藤沢市,251-0861,大庭3608-2,神奈川県藤沢市大庭3608-2,0466-87-2150,https://www.pen-kanagawa.ed.jp/fujisawanishi-h,35.35695956,139.44189,
0050001377,大船,神奈川県立大船高等学校,カナガワケンリツオオフナコウトウガッコウ,神奈川県,鎌倉市,247-0054,高野8-1,神奈川県鎌倉市高野8-1,0467-47-1811,https://www.pen-kanagawa.ed.jp/ofuna-h,35.34510063,139.5478558,
0050001362,横須賀大津,神奈川県立横須賀大津高等学校,カナガワケンリツヨコスカオオツコウトウガッコウ,神奈川県,横須賀市,239-0808,大津町4-17-1,神奈川県横須賀市大津町4-17-1,046-836-0281,https://www.pen-kanagawa.ed.jp/yokosukaotsu-h,35.25894656,139.6921342,
0050001384,湘南台,神奈川県立湘南台高等学校,カナガワケンリツショウナンダイコウトウガッコウ,神奈川県,藤沢市,252-0805,円行1986,神奈川県藤沢市円行1986,0466-45-6600,https://www.pen-kanagawa.ed.jp/shonandai-h,35.39810126,139.4602157,
0050001391,鶴嶺,神奈川県立鶴嶺高等学校,カナガワケンリツツルミネコウトウガッコウ,神奈川県,茅ヶ崎市,253-0084,円蔵1-16-1,神奈川県茅ヶ崎市円蔵1-16-1,0467-52-6601,https://www.pen-kanagawa.ed.jp/tsurumine-h,35.34483007,139.4093639,
0050001389,茅ケ崎,神奈川県立茅ケ崎高等学校,カナガワケンリツチガサキコウトウガッコウ,神奈川県,茅ヶ崎市,253-0042,本村3-4-1,神奈川県茅ヶ崎市本村3-4-1,0467-52-2225,https://www.pen-kanagawa.ed.jp/chigasaki-h,35.33860487,139.4180146,
0050001366,津久井浜,神奈川県立津久井浜高等学校,カナガワケンリツツクイハマコウトウガッコウ,神奈川県,横須賀市,239-0843,津久井4-4-1,神奈川県横須賀市津久井4-4-1,046-848-2121,https://www.pen-kanagawa.ed.jp/tsukuihama-h,35.20022299,139.6634908,
0050001382,藤沢清流,神奈川県立藤沢清流高等学校,カナガワケンリツフジサワセイリュウコウトウガッコウ,神奈川県,藤沢市,251-0002,大鋸1450,神奈川県藤沢市大鋸1450,0466-82-8111,https://www.pen-kanagawa.ed.jp/fujisawaseiryu-h,35.35535819,139.4836215,
0050001431,逗子葉山,神奈川県立逗子葉山高等学校,カナガワケンリツズシハヤマコウトウガッコウ,神奈川県,逗子市,249-0005,桜山5-24-1,神奈川県逗子市桜山5-24-1,(046)873-7322,https://www.pen-kanagawa.ed.jp/zushihayama-h,,,
0050001392,茅ケ崎西浜,神奈川県立茅ケ崎西浜高等学校,カナガワケンリツチガサキニシハマコウトウガッコウ,神奈川県,茅ヶ崎市,253-0061,南湖7-12869-11,神奈川県茅ヶ崎市南湖7-12869-11,0467-85-0008,https://www.pen-kanagawa.ed.jp/chigasakinishihama-h,35.31916832,139.3877727,
0050001395,三浦初声,神奈川県立三浦初声高等学校,カナガワケンリツミウラハッセコウトウガッコウ,神奈川県,三浦市,238-0113,初声町入江274-2,神奈川県三浦市初声町入江274-2,046-889-1771,https://www.pen-kanagawa.ed.jp/miurahasse-h,35.18648763,139.6258709,
0050001420,寒川,神奈川県立寒川高等学校,カナガワケンリツサムカワコウトウガッコウ,神奈川県,寒川町,253-0111,一之宮9-30-1,神奈川県寒川町一之宮9-30-1,0467-74-2312,https://www.pen-kanagawa.ed.jp/samukawa-h,35.35963357,139.3861784,
0050001385,小田原,神奈川県立小田原高等学校,カナガワケンリツオダワラコウトウガッコウ,神奈川県,小田原市,250-0045,城山3-26-1,神奈川県小田原市城山3-26-1,0465-23-1201,https://www.pen-kanagawa.ed.jp/odawara-h,35.25340875,139.1479193,
0050001369,平塚江南,神奈川県立平塚江南高等学校,カナガワケンリツヒラツカコウナンコウトウガッコウ,神奈川県,平塚市,254-0063,諏訪町5-1,神奈川県平塚市諏訪町5-1,0463-31-2066,https://www.pen-kanagawa.ed.jp/hiratsukakonan-h,35.33890756,139.3353382,
0050001396,秦野,神奈川県立秦野高等学校,カナガワケンリツハダノコウトウガッコウ,神奈川県,秦野市,257-0004,下大槻113,神奈川県秦野市下大槻113,0463-77-1422,https://www.pen-kanagawa.ed.jp/hadano-h,35.36230348,139.2572406,
0050001387,西湘,神奈川県立西湘高等学校,カナガワケンリツセイショウコウトウガッコウ,神奈川県,小田原市,256-0816,酒匂1-3-1,神奈川県小田原市酒匂1-3-1,0465-47-2171,https://www.pen-kanagawa.ed.jp/seisho-h,35.27492428,139.1864438,
0050001410,伊志田,神奈川県立伊志田高等学校,カナガワケンリツイシダコウトウガッコウ,神奈川県,伊勢原市,259-1116,石田1356-1,神奈川県伊勢原市石田1356-1,0463-93-5613,https://www.pen-kanagawa.ed.jp/ishida-h,35.41340578,139.3461537,
0050001421,大磯,神奈川県立大磯高等学校,カナガワケンリツオオイソコウトウガッコウ,神奈川県,大磯町,255-0002,東町2-9-1,神奈川県大磯町東町2-9-1,0463-61-0058,https://www.pen-kanagawa.ed.jp/oiso-h,35.31299221,139.3244536,
0050001409,伊勢原,神奈川県立伊勢原高等学校,カナガワケンリツイセハラコウトウガッコウ,神奈川県,伊勢原市,259-1142,田中1008-3,神奈川県伊勢原市田中1008-3,0463-95-2578,https://www.pen-kanagawa.ed.jp/isehara-h,35.40374,139.3059665,
0050001398,秦野曽屋,神奈川県立秦野曽屋高等学校,カナガワケンリツハダノソヤコウトウガッコウ,神奈川県,秦野市,257-0031,曽屋3613-1,神奈川県秦野市曽屋3613-1,0463-82-4000,https://www.pen-kanagawa.ed.jp/hadanosoya-h,35.37855547,139.2372754,
0050001417,足柄,神奈川県立足柄高等学校,カナガワケンリツアシガラコウトウガッコウ,神奈川県,南足柄市,250-0106,怒田860,神奈川県南足柄市怒田860,0465-73-0010,https://www.pen-kanagawa.ed.jp/ashigara-h,35.3285858,139.1038718,
0050001372,高浜,神奈川県立高浜高等学校,カナガワケンリツタカハマコウトウガッコウ,神奈川県,平塚市,254-0805,高浜台8-1,神奈川県平塚市高浜台8-1,0463-21-0417,https://www.pen-kanagawa.ed.jp/takahama-h,35.3205595,139.3572393,
0050001386,小田原東,神奈川県立小田原東高等学校,カナガワケンリツオダワラヒガシコウトウガッコウ,神奈川県,小田原市,250-0003,東町4-12-1,神奈川県小田原市東町4-12-1,0465-34-2847,https://www.pen-kanagawa.ed.jp/odawarahigashi-h,35.26033697,139.1794474,
0050001422,二宮,神奈川県立二宮高等学校,カナガワケンリツニノミヤコウトウガッコウ,神奈川県,二宮町,259-0134,一色1363,神奈川県二宮町一色1363,0463-71-3215,https://www.pen-kanagawa.ed.jp/ninomiya-h,35.31382123,139.2465479,
0050001424,山北,神奈川県立山北高等学校,カナガワケンリツヤマキタコウトウガッコウ,神奈川県,山北町,258-0111,向原2370,神奈川県山北町向原2370,0465-75-0828,https://www.pen-kanagawa.ed.jp/yamakita-h,35.35440115,139.1079937,
0050001374,平塚湘風,神奈川県立平塚湘風高等学校,カナガワケンリツヒラツカショウフウコウトウガッコウ,神奈川県,平塚市,254-0013,田村3-13-1,神奈川県平塚市田村3-13-1,0463-55-1532,https://www.pen-kanagawa.ed.jp/hiratsukashofu-h,35.37253394,139.3582559,
0050001399,厚木,神奈川県立厚木高等学校,カナガワケンリツアツギコウトウガッコウ,神奈川県,厚木市,243-0031,戸室2-24-1,神奈川県厚木市戸室2-24-1,046-221-4078,https://www.pen-kanagawa.ed.jp/atsugi-h,35.44604982,139.351332,
0050001405,大和,神奈川県立大和高等学校,カナガワケンリツヤマトコウトウガッコウ,神奈川県,大和市,242-0002,つきみ野3-4,神奈川県大和市つきみ野3-4,046-274-0026,https://www.pen-kanagawa.ed.jp/yamato-h,35.50729134,139.454997,
0050001353,相模原,神奈川県立相模原高等学校,カナガワケンリツサガミハラコウトウガッコウ,神奈川県,相模原市中央区,252-0242,横山1-7-20,神奈川県相模原市中央区横山1-7-20,042-752-4133,https://www.pen-kanagawa.ed.jp/sagamihara-h,35.56822831,139.3657075,
0050001412,海老名,神奈川県立海老名高等学校,カナガワケンリツエビナコウトウガッコウ,神奈川県,海老名市,243-0422,中新田1-26-1,神奈川県海老名市中新田1-26-1,046-232-2231,https://www.pen-kanagawa.ed.jp/ebina-h,35.44198873,139.3876279,
0050001355,相模原弥栄,神奈川県立相模原弥栄高等学校,カナガワケンリツサガミハラヤエイコウトウガッコウ,神奈川県,相模原市中央区,252-0229,弥栄3-1-8,神奈川県相模原市中央区弥栄3-1-8,042-758-4695,https://www.pen-kanagawa.ed.jp/sagamiharayaei-h,35.55585507,139.3881866,
0050001414,座間,神奈川県立座間高等学校,カナガワケンリツザマコウトウガッコウ,神奈川県,座間市,252-0029,入谷西5-11-1,神奈川県座間市入谷西5-11-1,046-253-2011,https://www.pen-kanagawa.ed.jp/zama-h,35.4770599,139.3963704,
0050001358,麻溝台,神奈川県立麻溝台高等学校,カナガワケンリツアサミゾダイコウトウガッコウ,神奈川県,相模原市南区,252-0329,北里2-11-1,神奈川県相模原市南区北里2-11-1,042-778-2731,https://www.pen-kanagawa.ed.jp/asamizodai-h,35.53866763,139.399382,
0050001429,厚木王子,神奈川県立厚木王子高等学校,カナガワケンリツアツギオウジコウトウガッコウ,神奈川県,厚木市,243-0817,王子1-1-1,神奈川県厚木市王子1-1-1,046-221-3158,https://www.pen-kanagawa.ed.jp/atsugioji-h,,,
0050001354,上溝南,神奈川県立上溝南高等学校,カナガワケンリツカミミゾミナミコウトウガッコウ,神奈川県,相模原市中央区,252-0243,上溝269,神奈川県相模原市中央区上溝269,042-778-1981,https://www.pen-kanagawa.ed.jp/kamimizominami-h,35.54134432,139.3631383,
0050001408,大和西,神奈川県立大和西高等学校,カナガワケンリツヤマトニシコウトウガッコウ,神奈川県,大和市,242-0006,南林間9-5-1,神奈川県大和市南林間9-5-1,046-276-1155,https://www.pen-kanagawa.ed.jp/yamatonishi-h,35.49635887,139.4346368,
0050001352,上溝,神奈川県立上溝高等学校,カナガワケンリツカミミゾコウトウガッコウ,神奈川県,相模原市中央区,252-0243,上溝6-5-1,神奈川県相模原市中央区上溝6-5-1,042-762-0008,https://www.pen-kanagawa.ed.jp/kamimizo-h,35.55605494,139.3560549,
0050001348,橋本,神奈川県立橋本高等学校,カナガワケンリツハシモトコウトウガッコウ,神奈川県,相模原市緑区,252-0143,橋本8-8-1,神奈川県相模原市緑区橋本8-8-1,042-774-0611,https://www.pen-kanagawa.ed.jp/hashimoto-h,35.598887,139.3341594,
0050001404,厚木西,神奈川県立厚木西高等学校,カナガワケンリツアツギニシコウトウガッコウ,神奈川県,厚木市,243-0123,森の里青山12-1,神奈川県厚木市森の里青山12-1,046-248-1705,https://www.pen-kanagawa.ed.jp/atsuginishi-h,35.44823063,139.3128673,
